data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9610119,231,ETH9326,9326,1-Nov-22,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Mendi town,Mendi,9.8,35.1,1,Oromiya Media Network,International,"On 1 November 2022, Ethiopian Airforce conducted a drone strike against OLF Shane in Mendi, Mendi town (West Wellega, Oromia). Around 3 OLF Shane were killed in the strike.",3,1667850819,ETH
9610121,231,ETH9322,9322,1-Nov-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Gimbi,Arogi,9.2834,35.7344,1,Oromiya Media Network,International,"On 1 November 2022, OLF Shane clashed with ENDF and Oromia regional special forces in Arogi (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610123,231,ETH9328,9328,1-Nov-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Jarso,Were Jiru,9.5333,35.2333,2,Oromiya Media Network,International,"On 1 November 2022, OLF Shane clashed with ENDF and Oromia regional special forces around Were Jiru, Jarso woreda (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9609908,231,ETH9316,9316,31-Oct-22,2022,1,Strategic developments,Change to group/activity,Government of Ethiopia (2018-),,1,,,0,10,Eastern Africa,Ethiopia,Benshangul/Gumuz,Asosa,Bambasi,Bambasi,9.764,34.7288,1,Wazema Radio; Ethiopia Reporter; Deutsche Welle,New media-National,"Security measures: On 31 October 2022, the administration of Bambis woreda announced a night time curfew in Bambasi woreda (Asosa, Benshangul/Gumuz) following an armed clash between OLF-Shane and government forces federal police and Oromia regional special forces in neighboring Benguwa area in West Wollega zone in Oromia region (coded separately). The administration stated that it has credible information that the group plans to open a similar attack in the woreda.",0,1667850818,ETH
9609909,231,ETH9320,9320,31-Oct-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Kiltu Kara,Kiltu Kara,9.6667,35.25,1,Oromiya Media Network; VOA; BBC News,International,"On 31 October 2022, OLF Shane clashed with Ethiopian government forces (assumed to be ENDF and Oromia regional special police forces) in Kiltu Kara (West Wellega, Oromia). Casualties unknown.",0,1667850818,ETH
9610075,231,ETH9317,9317,31-Oct-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Police Forces of Ethiopia (2018-) Federal Police,Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Mana Sibu,Benguwa,9.7785,34.9205,1,Ethiopia Reporter,National,"On 31 October 2022, OLF-Shane clashed with federal police and Oromia regional special forces in Benguwa (Mana Sibu, West Wellega, Oromia) Casualties unknown.",0,1667850819,ETH
9610118,231,ETH9318,9318,31-Oct-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Leta Sibu,Gori,9.6167,35.3167,2,Oromiya Media Network,International,"On 31 October 2022, OLF Shane clashed with Ethiopian government forces (assumed to be ENDF and Oromia regional special police forces) around Gori, in Leta Sibu woreda (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610120,231,ETH9321,9321,31-Oct-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Mendi town,Mendi,9.8,35.1,2,Oromiya Media Network,International,"On 31 October 2022, and for the second consecutive day, OLF Shane clashed with Ethiopian government forces (assumed to be ENDF) in unspecified place (coded to admin center, Mendi, Mendi town) in Mana Sibu Woreda (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610164,231,ETH9319,9319,31-Oct-22,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Eastern Africa,Ethiopia,Oromia,Arsi,Jeju,Huruta Dore,8.5228,39.5955,1,TIKVAH Ethiopia,Other,"On 31 October 2022, an unidentified armed group opened gun fire on civilians and killed 4 people in Huruta Dore kebele in Jeju woreda (Arsi, Oromia). No further information is available.",4,1667850819,ETH
9610195,231,ETH9315,9315,31-Oct-22,2022,1,Strategic developments,Arrests,Police Forces of Ethiopia (2018-) Federal Police,,1,Civilians (Ethiopia),Tigray Ethnic Group (Ethiopia); Labour Group (Ethiopia),7,17,Eastern Africa,Ethiopia,Addis Ababa,Region 14,Addis Ketema,Addis Ketema,9.035,38.732,1,VOA,International,"On 31 October 2022, a group of security officers wearing civilian clothes (assumed to be Federal Police) arrested dozens of ethnic Tigrayan owners and workers of gold jewelry shops in Piasa/Addis Ketema, Addis Ketema Sub-city (Region 14, Addis Ababa). The police officers confiscated unidentified number of properties and sealed their shops. No further information available.",0,1667850819,ETH
9609907,231,ETH9311,9311,30-Oct-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Mendi town,Mendi,9.8,35.1,2,Deutsche Welle; Oromiya Media Network,International,"On 30 October 2022, OLF Shane clashed with ENDF around Mendi, Mendi town (West Wellega, Oromia). Casualties unknown.",0,1667850818,ETH
9610124,231,ETH9312,9312,30-Oct-22,2022,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Oromia,West Shewa,Jeldu,Seriti,9.2042,38.1569,1,Oromiya Media Network,International,"On 30 October 2022, Oromia regional special force shot and killed a person looking after his cattle in Seriti kebele in Jeldu woreda, West Shewa, Oromia), after seeing him speak over telephone and suspecting him of informing their movement to the OLF Shane group.",1,1667850819,ETH
9610125,231,ETH9313,9313,30-Oct-22,2022,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,,1,Civilians (Ethiopia),OLF: Oromo Liberation Front (Shane Splinter Faction),7,17,Eastern Africa,Ethiopia,Oromia,North Shewa,Wara Jarso,Tulu Milki,9.9223,38.3418,1,Oromiya Media Network,International,"On 30 October 2022, Oromia regional special force shot and killed a youth in Tulu Milki, Wara Jarso woreda (North Shewa, Oromia) and wounded another one. The government forces raided a youth club, took out and shot the victim with two bullets after accusing him of supporting OLF Shane group.",1,1667850819,ETH
9610126,231,ETH9314,9314,30-Oct-22,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Mana Sibu,Wama Tobera,9.5998,35.0084,1,Oromiya Media Network,International,"On 30 October 2022, Ethiopian Airforce conducted a drone strike against OLF Shane in Wama Tobera kebele, Mana Sibu woreda (West Wellega, Oromia). The strike killed at least 2 OLF Shane and wounded 8 others.",2,1667850819,ETH
9609906,231,ETH9309,9309,29-Oct-22,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),Orthodox Christian Group (Ethiopia),7,37,Eastern Africa,Ethiopia,Oromia,North Shewa,Kuyu,Gebre Guracha,9.8,38.4,1,TIKVAH Ethiopia; Deutsche Welle,Other-International,"On 29 October 2022, an unidentified armed group killed one deacon and kidnapped 11 other ministers after entering Midre Genet St Lideta Mary Church (Orthodox Christian Church) in Gebre Guracha town, Kuyu woreda (North Shewa, Oromia). The victims were at a night-time Church service during the attack.",1,1667850818,ETH
9610128,231,ETH9310,9310,29-Oct-22,2022,2,Strategic developments,Arrests,Police Forces of Ethiopia (2018-) Oromia State Police,,1,Civilians (Ethiopia),OLF: Oromo Liberation Front (Shane Splinter Faction),7,17,Eastern Africa,Ethiopia,Oromia,West Hararge,Daro Lebu,Mechara,8.6,40.3167,1,Oromiya Media Network,International,"Around 29 October 2022 (weekend of), Oromia Regional State Police started to arrest 'several' youths in Mechara, Daro Lebu woreda (West Hararge, Oromia), after conducting home-to-home searches over suspicion of being members of OLF Shane group.",0,1667850819,ETH
9594288,231,ETH9304,9304,28-Oct-22,2022,2,Strategic developments,Other,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray People's Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Southern Tigray,Chercher,Chercher,12.5382,39.7714,2,EBC; Amhara Media Corporation; Oromia Broadcasting Network,National,"Mass grave: Around 28 October 2022 (as reported), ENDF announced it discovered mass grave sites 'of thousands of TPLF fighters killed by its forces in the battle fields' near Chercher, Chercher (Southern Tigray, Tigray). The grave sites are coded with numbers and their army units. The government forces also discovered suspected bodies of TPLF military commanders from caves.",0,1667248059,ETH
9594289,231,ETH9305,9305,28-Oct-22,2022,1,Violence against civilians,Attack,TPLF: Tigray People's Liberation Front,,3,Civilians (Ethiopia),Health Workers (Ethiopia); Military Forces of Ethiopia (2018-),7,37,Eastern Africa,Ethiopia,Tigray,North Western Tigray,Asgede,Dedebit,14.0705,37.7624,3,BBC News; TIKVAH Ethiopia,Other-International,"On 28 October 2022, suspected TPLF stopped an ambulance transporting injured soldiers (presumably, ENDF soldiers) from Adwa to Adi Remets Hospital, shot and killed the driver of the ambulance and injured an unknown number of soldiers. Exact location (between Adwa and Adi Remets), is not known and coded to Dedebit, Asgede woreda, North Western Tigray, Tigray.",1,1667248059,ETH
9594565,231,ETH9302,9302,27-Oct-22,2022,1,Battles,Armed clash,Murle Ethnic Militia (South Sudan),,4,Kebele Communal Militia (Ethiopia),,4,44,Eastern Africa,Ethiopia,Gambela,Agnewak,Dima,Dimma,7.1667,34.6667,1,Deutsche Welle,International,"On 27 October 2022, a group of ethnic Murle militia men exchanged fire with Kebele militias in Dima woreda, Dimma (Agnewak, Gambela), after crossing the border with South Sudan. One member of the armed group was killed, and four others escaped following the clash. The local government militias also seized 10 AK47 rifles dropped by the group.",1,1667248060,ETH
9594567,231,ETH9303,9303,27-Oct-22,2022,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray People's Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,1,EMS,Other,"On 27 October 2022, ENDF clashed with TPLF forces in Adigrat town (Eastern Tigray, Tigray), regaining control of the area. Casualties unknown.",0,1667248060,ETH
9609905,231,ETH9308,9308,27-Oct-22,2022,1,Violence against civilians,Abduction/forced disappearance,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Civilians (Ethiopia),Students (Ethiopia),7,27,Eastern Africa,Ethiopia,Oromia,West Wellega,Mana Sibu,Benguwa,9.7785,34.9205,1,Wazema Radio; Deutsche Welle,New media-International,"On 27 October 2022, OLF Shane allegedly kidnapped around 16 civilians, mostly students, in Benguwa, Mana Sibu woreda (West Wellega, Oromia), after stopping and dragging them out of a public bus. The abductees were travelling from Asosa to Kemashi. OLF Shane denied the claim.",0,1667850818,ETH
9594287,231,ETH9301,9301,26-Oct-22,2022,1,Riots,Violent demonstration,Rioters (Ethiopia),,5,Police Forces of Ethiopia (2018-) Somali Regional Special Forces,,1,15,Eastern Africa,Ethiopia,Somali,Fafan,Jigjiga town,Jijiga,9.35,42.8,1,TIKVAH Ethiopia; BBC News; Deutsche Welle,Other-International,"On 26 October 2022, hundreds of people demonstrated against the killing of a Somali regional council member in Jijiga town, Jijiga (Fafan, Somali). Federal Police officer opened gun fire and killed a member of regional council a day earlier in Jigjiga town (coded separately). Some demonstrators threw stones on security forces and in return regional special police fired tear gas to disperse the demonstrators. There were no causalities. Some demonstrators were also arrested. [size=hundreds]",0,1667248059,ETH
9594691,231,ETH9300,9300,26-Oct-22,2022,2,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),OLF: Oromo Liberation Front (Shane Splinter Faction),7,17,Eastern Africa,Ethiopia,Oromia,West Hararge,Mieso,Mieso,9.2351,40.7548,1,Oromiya Media Network,International,"Around 26 October 2022 (week of), government forces (assumed to be ENDF) shot and killed 2 civilians in Dalecha kebele, Mieso, Mieso (West Hararge, Oromia). The victims were accused of collaborating with OLF Shane armed group. No further information is available.",2,1667248060,ETH
9610165,231,ETH9307,9307,26-Oct-22,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Eastern Africa,Ethiopia,Oromia,Arsi,Jeju,Huruta Dore,8.5228,39.5955,1,TIKVAH Ethiopia,Other,"Around 26 October 2022 (week of), an unidentified gun man shot and killed a youth in Huruta Dore kebele in Jeju woreda (Arsi, Oromia). No further information is available.",1,1667850819,ETH
9594286,231,ETH9299,9299,25-Oct-22,2022,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-) Federal Police,,1,Civilians (Ethiopia),Government of Ethiopia (2018-); PP: Prosperity Party,7,17,Eastern Africa,Ethiopia,Somali,Fafan,Jigjiga town,Jijiga,9.35,42.8,1,TIKVAH Ethiopia; Deutsche Welle; Wazema Radio; BBC News,Other-New media,"On 25 October 2022, a Federal Police officer shot and killed a woman Somali regional council member (PP) and wounded 4 other civilians in Jijiga Airport, Jigjiga town (Fafan, Somali), after accusing them of taking his picture in the airport. The victims were waiting to receive their relatives on arrival. The regional government announced that regional security forces had arrested the officer and are investigating the case.",1,1667248059,ETH
9594688,231,ETH9298,9298,25-Oct-22,2022,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-) Oromia State Police,,1,Civilians (Ethiopia),OLF: Oromo Liberation Front (Shane Splinter Faction),7,17,Eastern Africa,Ethiopia,Oromia,Buno Bedele,Dabo Hana,Kone Town,8.6897,36.285,2,Oromiya Media Network,International,"On 25 October 2022, Oromia State Police shot and killed a youth in Daye kebele (coded to admin center, Kone Town, in Dabo Hana woreda, Buno Bedele, Oromia), after accusing him of having relationship with OLF Shane. No further information is available.",1,1667248060,ETH
9594497,231,ETH9294,9294,24-Oct-22,2022,1,Strategic developments,Other,TPLF: Tigray People's Liberation Front,,3,Civilians (Ethiopia),Amhara Ethnic Group (Ethiopia),7,37,Eastern Africa,Ethiopia,Tigray,Southern Tigray,Alamata town,Alamata,12.416,39.5597,1,Amhara Media Corporation,National,"Mass grave: On 24 October 2022, a mass grave of an unidentified number of Amhara civilians who were killed by members of TPLF forces during the group's occupation of the areas in the past 16 months was found in Alamata town (Southern Tigray, Tigray). According to witnesses, the victims were 'targeted because of their ethnicity.'",0,1667248060,ETH
9594571,231,ETH9297,9297,24-Oct-22,2022,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray People's Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Central Tigray,Abergele,Yechilay,13.2878,38.9914,1,ESAT,International,"On 24 October 2022, ENDF clashed with TPLF forces in Yechilay (Abergele, Central Tigray, Tigray), Samre (coded separately) and Kola Tambien (coded separately) areas, regaining control of these areas shortly after. Casualties unknown.",0,1667248060,ETH
9594575,231,ETH9296,9296,24-Oct-22,2022,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray People's Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,South Eastern Tigray,Samre,Samre,13.1956,39.2101,1,ESAT,International,"On 24 October 2022, ENDF clashed with TPLF forces in Samre (South Eastern Tigray, Tigray), Yechilay (coded separately), and Kola Tambien (coded separately) areas, regaining control of these areas shortly after. Casualties unknown.",0,1667248060,ETH
9594576,231,ETH9295,9295,24-Oct-22,2022,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray People's Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Central Tigray,Keyhe tekli,Kola Tambien,13.6645,38.9155,1,ESAT,International,"On 24 October 2022, ENDF clashed with TPLF forces in Kola Tambien (Keyhe tekli, Central Tigray, Tigray), Yechilay (coded separately), and Samre (coded separately) areas, regaining control of these areas shortly after. Casualties unknown.",0,1667248060,ETH
9594695,231,ETH9290,9290,24-Oct-22,2022,1,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),OLF: Oromo Liberation Front (Shane Splinter Faction),7,17,Eastern Africa,Ethiopia,Oromia,West Shewa,Ambo town,Ambo,8.9833,37.85,1,Oromiya Media Network,International,"On 24 October 2022, government forces (assumed to ENDF) shot and killed a person in Tikoso [Liban] kebele, in Ambo town, Ambo (West Shewa, Oromia), after accusing him of transferring cashes to OLF Shane armed group. The government forces captured the victim with some cashes before they shot and killed him.",1,1667248060,ETH
9594697,231,ETH9291,9291,24-Oct-22,2022,1,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Oromia,West Shewa,Bako Tibe,Bako,9.1333,37.05,1,Oromiya Media Network,International,"On 24 October 2022, ENDF shot and killed a youth in Bako, Bako Tibe woreda (West Shewa, Oromia). The reason is unknown and no further information is available.",1,1667248060,ETH
9594698,231,ETH9292,9292,24-Oct-22,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12,Eastern Africa,Ethiopia,Oromia,West Shewa,Cobi,Chobi,9.3333,37.95,2,Oromiya Media Network,International,"On 24 October 2022, and for the second day, Ethiopian Air Force conducted a drone strike targeting a school camped by the OLF-Shane in Bake Hofu [Kale] kebele (a location coded to admin center, Chobi, in Cobi woreda, West Shewa, Oromia). The first strike, which according to some sources, targeted a graduation ceremony of OLF Shane fighters (coded separately) and their camp [on the second day] killed at least 60 (some sources say over 70) and wounded over 100 people in two days strikes. Fatalities split across two events and coded as 30.",30,1667248060,ETH
9594699,231,ETH9293,9293,24-Oct-22,2022,2,Strategic developments,Arrests,Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,,1,Civilians (Ethiopia),OLF: Oromo Liberation Front (Shane Splinter Faction),7,17,Eastern Africa,Ethiopia,Oromia,East Shewa,Dugda,Meki,8.1555,38.826,1,Oromiya Media Network,International,"Around 24 October 2022 (as reported), local government security (assumed to be Oromia regional special forces), arrested over 50 people (families of OLF Shane group) in Meki town, Dugda woreda (East Shewa, Oromia), after being accused of sending or having a family member who joined OLF Shane group.",0,1667248060,ETH
9594285,231,ETH9284,9284,23-Oct-22,2022,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray People's Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Central Tigray,Axum town,Aksum,14.1234,38.7313,1,EMS; ESAT,Other-International,"On 23 October 2022, ENDF clashed with TPLF forces in Aksum town (Axum town, Central Tigray, Tigray) and Adwa (coded separately), regaining control of these areas shortly after. Unidentified members of TPLF were reported killed. An unknown number of fatalities in an active conflict zone coded as 10 and split into two locations.",5,1667248059,ETH
9594482,231,ETH9267,9267,23-Oct-22,2022,1,Protests,Peaceful protest,Protesters (Ethiopia),,6,,,0,60,Eastern Africa,Ethiopia,Amhara,South Wello,Thehulederie,Hayk,11.3,39.6833,1,Amhara Media Corporation,Subnational,"On 23 October 2022, a protest against western countries' involvement in Ethiopia and TPLF was held in Hayk (Thehulederie, South Wello, Amhara). The main slogan of the protest was 'I will stand for Ethiopia and let my voice be heard.' In this demonstration, residents of Thehulederie woreda and Hayik town participated. Protesters were heard saying, 'Tigrayans are our brothers; TPLF is our enemy; stop the proxy war,' and so on. [size=no report]",0,1667248060,ETH
9594483,231,ETH9270,9270,23-Oct-22,2022,1,Protests,Peaceful protest,Protesters (Ethiopia),,6,,,0,60,Eastern Africa,Ethiopia,Amhara,South Wello,Kelela,Kelela,10.4709,38.8111,1,Amhara Media Corporation,Subnational,"On 23 October 2022, a protest against western countries' involvement in Ethiopia and TPLF was held in Kelela (South Wello, Amhara). The main slogan of the protest was 'I will stand for Ethiopia and let my voice be heard.' [size=no report]",0,1667248060,ETH
9594484,231,ETH9271,9271,23-Oct-22,2022,1,Protests,Peaceful protest,Protesters (Ethiopia),,6,,,0,60,Eastern Africa,Ethiopia,Amhara,Oromia,Kemise town,Kemise,10.7244,39.874,1,Amhara Media Corporation,Subnational,"On 23 October 2022, a protest against western countries' involvement in Ethiopia was held in Kemise town (Oromia, Amhara). Protesters were heard saying, 'no negotiations on our sovereignty; Tigrayans are our brothers; TPLF is our enemy; stop intervening under the name of humanitarian aid,' and so on. [size=no report]",0,1667248060,ETH
9594485,231,ETH9263,9263,23-Oct-22,2022,1,Protests,Peaceful protest,Protesters (Ethiopia),,6,,,0,60,Eastern Africa,Ethiopia,Amhara,South Gondar,Debre Tabor town,Debre Tabor,11.85,38.0166,1,Amhara Media Corporation,Subnational,"On 23 October 2022, a protest against western countries' involvement in Ethiopia and TPLF was held in Debre Tabor town (South Gondar, Amhara). The main slogan of the protest was 'I will stand for Ethiopia and let my voice be heard.' [size=no report]",0,1667248060,ETH
